"id","name","rtsp_link","hls_link","status","last_data_received","created_at","updated_at","region_id"
"9d01ab33-5c28-4fef-b2cc-43ebb848ad85","CH18","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=18&subtype=0","",True,NULL,"2025-07-31 17:08:47.357575+05:30","2025-07-31 17:08:47.357593+05:30",3
"9d497008-de51-4be2-947f-332b4eb9063e","CH4","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=4&subtype=0","",True,NULL,"2025-07-31 17:08:47.276237+05:30","2025-07-31 17:08:47.276258+05:30",1
"a5b3b6d1-2277-46c9-b382-224ce8238a97","CH29","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=29&subtype=0","",True,NULL,"2025-07-31 17:08:47.417122+05:30","2025-07-31 17:08:47.417153+05:30",4
"acf05e8d-1c7a-4f78-bbf4-d6ff2d388e35","CH6","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=6&subtype=0","",True,"2025-07-31 17:09:11.127822+05:30","2025-07-31 17:08:47.286176+05:30","2025-07-31 17:08:47.286195+05:30",1
"b8f91c23-55b1-411d-b8d2-36866a2b4d7c","CH24","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=24&subtype=0","",True,NULL,"2025-07-31 17:08:47.386406+05:30","2025-07-31 17:08:47.386429+05:30",3
"b961a7ba-2794-4208-a5fd-39c9d9547094","CH32","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=32&subtype=0","",True,NULL,"2025-07-31 17:08:47.438806+05:30","2025-07-31 17:08:47.438825+05:30",4
"bcba300d-90b5-4db0-b275-fc9bdb767107","CH7","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=7&subtype=0","",True,NULL,"2025-07-31 17:08:47.290788+05:30","2025-07-31 17:08:47.290807+05:30",1
"c019c65c-5948-4cca-85a0-f86b591c4310","CH26","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=26&subtype=0","",True,"2025-07-31 17:10:10.653651+05:30","2025-07-31 17:08:47.398894+05:30","2025-07-31 17:08:47.398912+05:30",4
"c4684193-b463-4bc1-88bc-5712c33a8782","CH10","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=10&subtype=0","",True,NULL,"2025-07-31 17:08:47.306309+05:30","2025-07-31 17:08:47.306339+05:30",2
"df578bc7-bbbb-4e5c-b2e0-42111ee44293","CH12","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=12&subtype=0","",True,NULL,"2025-07-31 17:08:47.322365+05:30","2025-07-31 17:08:47.322383+05:30",2
"ee808db3-4b84-4113-ad4e-2b8efecaeab7","CH30","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=30&subtype=0","",True,NULL,"2025-07-31 17:08:47.426114+05:30","2025-07-31 17:08:47.426145+05:30",4
"f07cc743-5b61-4543-af16-a8ad49bd7e66","CH5","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=5&subtype=0","",True,"2025-07-31 17:09:31.020208+05:30","2025-07-31 17:08:47.281437+05:30","2025-07-31 17:08:47.281455+05:30",1
"f1c533a3-b87b-4fe6-95c1-4b7a580b2d18","CH22","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=22&subtype=0","",True,NULL,"2025-07-31 17:08:47.376389+05:30","2025-07-31 17:08:47.376406+05:30",3
"fe3c0fa9-1feb-451f-959d-08d380da21b1","CH2","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=2&subtype=0","",True,NULL,"2025-07-31 17:08:47.261358+05:30","2025-07-31 17:08:47.26138+05:30",1
